time,bmi,sex,age,geo\isced97	TOTAL 	ED0-2 	ED3_4 	ED5_6 
2008,18P5-25,M,Y18-24,ES	68.5 	69.2 	67.8 	67.6 
2008,18P5-25,M,Y18-24,FR	76.7 	78.7 	77 	73.2 
2008,18P5-25,M,Y18-24,HU	67.3 	64.6 	67.8 	: 
2008,18P5-25,M,Y18-24,LV	73.4 	79.4 	70.4 	69.7 u
2008,18P5-25,M,Y18-24,MT	54.2 	: 	54.4 	54.1 u
2008,18P5-25,M,Y18-24,PL	67 	75.1 	64.4 	62.5 
2008,18P5-25,M,Y18-24,RO	71.4 	79.6 	69.3 	: 
2008,18P5-25,M,Y18-24,SI	62.1 	75.7 u	57.0 	: 
2008,18P5-25,M,Y18-24,SK	70.9 	73.2 	69.7 	75.4 u
2008,18P5-25,M,Y18-24,TR	74.3 	73.5 	77 	59.7 
2008,18P5-25,M,Y25-34,AT	57.6 	46.4 	56.4 	64.4 
2008,18P5-25,M,Y25-34,BE	57.7 	58.2 	55.6 	60.4 
2008,18P5-25,M,Y25-34,BG	46.3 	41.4 	47.6 	47.7 
2008,18P5-25,M,Y25-34,CY	49.7 	46.8 	50.4 	50.3 
2008,18P5-25,M,Y25-34,CZ	43.7 	: 	44 	40.8 u
2008,18P5-25,M,Y25-34,DE	52.5 	: c	51.3 	59.6 
2008,18P5-25,M,Y25-34,EE	50 	45.1 	51.7 	48.9 u
2008,18P5-25,M,Y25-34,EL	47.9 	56.2 	38 	58.9 
2008,18P5-25,M,Y25-34,ES	46.8 	46.6 	45 	48.5 
2008,18P5-25,M,Y25-34,FR	61.8 	67.2 	56.1 	66 
2008,18P5-25,M,Y25-34,HU	48.9 	45.6 	45.1 	62.2 
2008,18P5-25,M,Y25-34,LV	49.6 	46.5 	51.1 	49.6 
2008,18P5-25,M,Y25-34,MT	34.5 	: 	30.2 	44.1 
2008,18P5-25,M,Y25-34,PL	41.3 	46.3 	39.2 	44.2 
2008,18P5-25,M,Y25-34,RO	49.5 	49.5 	49.7 	48.7 
2008,18P5-25,M,Y25-34,SI	43.1 	: 	39.1 	64.1 u
2008,18P5-25,M,Y25-34,SK	51.6 	: 	48.7 	59.7 
2008,18P5-25,M,Y25-34,TR	55.3 	56.1 	52.3 	57.7 
2008,18P5-25,M,Y35-44,AT	42.2 	34.6 	43.1 	43 
2008,18P5-25,M,Y35-44,BE	44.9 	37.2 	39.7 	55.1 
2008,18P5-25,M,Y35-44,BG	35.6 	42.8 	32.1 	41.9 
2008,18P5-25,M,Y35-44,CY	35 	37.4 	34.3 	34.4 
2008,18P5-25,M,Y35-44,CZ	32.2 	: 	29.9 	: 
2008,18P5-25,M,Y35-44,DE	35.8 	: c	32.1 	43.7 
2008,18P5-25,M,Y35-44,EE	35.5 	34.2 	35.5 	37.8 u
2008,18P5-25,M,Y35-44,EL	30.3 	23.1 	34.1 	31.5 
2008,18P5-25,M,Y35-44,ES	35.5 	31.8 	37.4 	39.2 
2008,18P5-25,M,Y35-44,FR	49.3 	43.5 	46.8 	57.7 
2008,18P5-25,M,Y35-44,HU	33.8 	42.5 	33.3 	29.2 
